ImageID,ModelLoss,DataLoss
0221,0.9999988,0.9813063
0222,0.99999857,0.98751336
0223,0.9999994,0.98070115
0224,1.0000001,0.9875799
0225,1.0,0.9825373
0226,0.9999799,0.97866887
0227,0.99999845,0.98017955
0228,1.0,0.9995596
0229,0.99997854,0.97700894
0230,0.99999803,0.9792516
0231,0.9999985,0.98375094
0232,1.0,0.98280036
0233,1.0000001,0.9812032
0234,0.9999761,0.97746456
0235,1.0000001,0.9801214
0236,0.99998397,0.9795525
0237,0.9999982,0.9808175
0238,0.9999997,0.97815204
0239,0.99998456,0.9789496
0240,0.99999624,0.97875416
0241,0.99994147,0.97698843
0242,1.0000001,0.9895687
0243,1.0,0.99361926
0244,1.0,0.98058546
0245,0.99997526,0.97748035
0246,0.9998798,0.9763244
0247,0.9999976,0.9774245
0248,0.99999946,0.9848953
0249,0.9999999,0.98050183
0250,1.0000001,0.9805693
0251,0.9999956,0.9780101
0252,0.99998975,0.9778018
0253,1.0000001,0.9854341
0254,1.0000001,0.9845405
0255,1.0,0.98501194
0256,0.99991244,0.9805961
0257,1.0,0.9949567
0258,0.99999875,0.97869116
0259,0.99999994,0.986208
0260,1.0000001,0.98482126
0261,0.99999785,0.97974306
0262,1.0000001,0.97994083
0263,1.0000001,0.9828009
0264,0.99999976,0.9800317
0265,0.99998945,0.9791417
0266,0.99999636,0.9828022
0267,0.9999998,0.981463
0268,1.0,0.99362195
0269,1.0,0.98733854
0270,0.99999845,0.97958887
0271,1.0000001,0.9815189
0272,0.9999862,0.9785094
0273,1.0000001,0.98124206
0274,0.9999998,0.9792591
0275,1.0,0.98129714
0276,1.0,1.0
0277,1.0,0.9861953
0278,1.0,0.99517304
0279,1.0,0.982716
0280,0.99994993,0.976614
0281,0.9999862,0.977885
0282,0.9999803,0.97762525
0283,1.0,0.98178005
0284,0.99999654,0.98332226
0285,1.0,0.9813604
0286,0.9999971,0.97973174
0287,0.9999998,0.9815579
0288,0.9999919,0.97852045
0289,1.0,0.9962472
0290,0.999999,0.9846991
0291,0.99999887,0.98542935
0292,1.0,0.99870986
0293,0.9999897,0.97969157
0294,1.0000002,0.980406
0295,1.0,0.9892833
0296,0.99999785,0.9788157
0297,1.0,0.9943205
0298,1.0000001,0.9816277
0299,1.0,0.9857548
0300,1.0,0.9849583
0301,0.999972,0.97801185
0302,1.0,0.98339105
0303,0.99999833,0.9799953
0304,1.0000001,0.9804153
0305,1.0,0.9932106
0306,0.9999917,0.97869605
0307,1.0000001,0.980275
0308,1.0,0.9800168
0309,0.9999998,0.98112696
0310,0.99998885,0.97755045
0311,0.99998593,0.97777814
0312,1.0,0.9962911
0313,0.99999636,0.98038477
0314,0.99996006,0.97887313
0315,0.99999994,0.98083615
0316,0.99990267,0.9767139
0317,1.0000001,0.9813057
0318,0.9999704,0.9785442
0319,1.0,0.98053366
0320,0.9999995,0.9843404
0321,0.99997586,0.9799011
0322,1.0,0.98578244
0323,0.9999628,0.9765723
0324,0.999964,0.97740966
0325,0.99999607,0.97814596
0326,1.0,0.99231476
0327,1.0000001,0.982812
0328,1.0,0.9883873
0329,1.0000001,0.9879304
0330,0.9999951,0.97873354
0331,0.9999969,0.979731
0332,1.0000002,0.98094755
0333,0.999983,0.9774806
0334,1.0,0.9828718
0335,0.9999969,0.9832966
0336,1.0,0.98274255
0337,1.0000001,0.98284066
0338,1.0,0.983905
0339,0.99999994,0.99303925
0340,0.99998504,0.9768856
0341,1.0000001,0.9899374
0342,1.0000001,0.97902787
0343,0.9999432,0.9766997
0344,0.9999999,0.9817347
0345,1.0,0.98195934
0346,0.99999696,0.9785655
0347,1.0000001,0.9794494
0348,0.99999934,0.98073924
0349,0.9999864,0.97805643
0350,1.0,0.9804733
0351,0.9999999,0.99067044
0352,0.99997735,0.976347
0353,1.0000002,0.9810774
0354,1.0000001,0.9831913
0355,1.0,0.99445575
0356,0.99994236,0.9772739
0357,1.0,0.9829227
0358,1.0,0.9853192
0359,0.9999992,0.9793117
0360,1.0,0.9811003
0361,0.99999714,0.97976685
0362,0.99992347,0.97705644
0363,0.9999322,0.9779726
0364,1.0,0.98048425
0365,0.99988383,0.9761033
0366,1.0,1.0
0367,0.9999764,0.9769628
0368,0.9999984,0.9830197
0369,0.99999607,0.97822624
0370,0.9999918,0.97715944
0371,1.0,0.98583394
0372,1.0,0.99016434
0373,0.99998665,0.97769976
0374,0.99988204,0.97578806
0375,0.9999998,0.9865376
0376,0.9999998,0.9818262
0377,0.99999917,0.9850697
0378,1.0,0.99629706
0379,0.99999815,0.97975546
0380,1.0,0.98545164
0381,0.99997675,0.9771417
0382,0.9999584,0.9769933
0383,0.9999995,0.9790467
0384,0.99999905,0.97967446
0385,1.0,0.98448724
0386,0.99991316,0.9772489
0387,1.0,0.9979696
0388,0.9999992,0.98081344
0389,0.99999946,0.9796268
0390,0.9999851,0.9786817
0391,0.99994594,0.97757715
0392,0.9999999,0.9897409
0393,0.99999255,0.9782011
0394,1.0000001,0.9830892
0395,1.0000001,0.98835117
0396,1.0,0.9981369
0397,1.0000001,0.98647434
0398,1.0,0.9873689
0399,0.99997985,0.97728735
0400,1.0000001,0.9799677
0401,0.9999993,0.9806581
0402,1.0,1.0
0403,0.99999994,0.9835845
0404,1.0000001,0.979
0405,1.0,0.9901778
0406,0.99999994,0.9824105
0407,0.99999964,0.9816108
0408,1.0,0.9921408
0409,0.9999997,0.98026097
0410,0.99999154,0.97801715
0411,0.99999845,0.9802232
0412,1.0000001,0.981954
0413,0.99993885,0.9846834
0414,0.99999607,0.98452187
0415,0.9999669,0.9775505
0416,0.99999917,0.9802883
0417,0.9999553,0.97716224
0418,0.99996585,0.9770542
0419,0.9999213,0.9763707
0420,1.0,0.98780215
0421,0.9999856,0.9781969
0422,0.9999968,0.9828246
0423,0.9999857,0.9768675
0424,0.9999924,0.9772567
0425,0.9999933,0.9786981
0426,1.0,0.9798137
0427,0.99997896,0.9779142
0428,0.99998236,0.97844386
0429,1.0,0.99876237
0430,0.99998957,0.9786585
0431,0.9999982,0.9855442
0432,0.9999983,0.9808933
0433,1.0000001,0.9823144
0434,1.0000001,0.98132545
0435,0.9999998,0.9796831
0436,0.99997896,0.9778023
0437,1.0,0.9906927
0438,0.99999964,0.99564844
0439,1.0,0.9877949
0440,1.0000001,0.98526764
0441,1.0,0.99941736
0442,1.0,0.9799796
0443,0.99999994,0.9860145
0444,1.0000001,0.9882635
0445,1.0000001,0.98330516
0446,0.99999964,0.9827434
0447,1.0000001,0.9847699
0448,0.99998826,0.9791126
0449,0.9999997,0.9798075
0450,0.9999998,0.97972375
0451,0.99998814,0.976896
0452,0.9999982,0.9837022
0453,1.0,0.9788532
0454,1.0,0.988716
0455,0.9999997,0.9796855
0456,1.0,0.9972704
0457,1.0,0.98073936
0458,0.99999094,0.9790444
0459,0.9999916,0.97933006
0460,1.0,0.98227155
0461,1.0,0.9932203
0462,0.99998957,0.98115885
0463,1.0000001,0.98130405
0464,1.0000002,0.9799966
0465,1.0,0.9804021
0466,0.9999987,0.9793101
0467,0.99989855,0.9763417
0468,1.0000001,0.98065513
0469,0.9999918,0.9800236
0470,0.9999553,0.9766165
0471,1.0,0.99947935
0472,0.99999803,0.98145366
0473,0.9999989,0.9786948
0474,1.0,0.98604846
0475,1.0,0.9850218
0476,1.0000001,0.98236835
0477,0.9999297,0.9765286
0478,0.99999964,0.9802293
0479,1.0000001,0.9829289
0480,0.9999988,0.97873414
0481,0.9999953,0.9782813
0482,1.0000001,0.985286
0483,0.9999994,0.9802781
0484,1.0,0.98158944
0485,1.0,0.9864046
0486,0.9999715,0.9826634
0487,0.9999857,0.97846365
0488,0.99999845,0.9808587
0489,0.99999475,0.9777939
0490,1.0000001,0.9824043
0491,0.99999535,0.9792784
0492,0.9999927,0.9778214
0493,1.0,0.9969782
0494,0.9999986,0.9814484
0495,0.9999119,0.9784818
0496,0.9999992,0.97942203
0497,0.99999136,0.9770651
0498,1.0000001,0.98271906
0499,0.9999972,0.98007476
